Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-08-31 19:08:51,Disagree,It was obvious given the word the reviewer used.,Read the review and noticed key words ,All of it,Nothing,Disagree,"Most of the time the reviewers used words like hate, can't stand, god awful",I selected words or phrases that I thought represented how the reviewer felt.,emotional words,"I had a hard time deciding whether or not i should select ""cant stand"" as a negative word",nothing,From the beginning of the review to the end. ,Disagree,Some words like that have a negative meaning could be used to describe something that inst particularly negative about the movie.,nothing,25 - 34,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,11380,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-08-31 19:12:02,Somewhat disagree,"most reviews were quite explicit in their like or dislike, there were only a couple that were hard to discerne","the overall vibe of the review, they type of language used in context",the context of positive or negative language,"nothing, it was very clear",Somewhat agree,because words on their own can appear positive but be in a negative context or visa versa,i looked of explicitly negative or positive phrases and words that were less ambiguous,as little ambiguity as possible,in some cases a word alone could be something that would be positive or negative depending on the tone of the use and so i didnt sekect those,nothing,i just did them in the order of the text,Disagree,becuase the context is what matttered in each review,nothing,35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,43418,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-08-31 19:21:03,Strongly disagree,For the most part it's easy to determine whether a review is positive or negative.  I just looked for positive or negative words and phrases.,I look for positive or negative words and phrases as a guide.  I keep a mental tally of them and then decide if the review is positive or negative.,"I focused on all parts of the review in determining whether a review was positive or negative.  In particular, I paid close attention to the first and last sentences.",There was nothing that could have been made more clear about the instructions I was given for labeling movie reviews as positive or negative.  The instructions were clear and easy to understand.,Strongly disagree,It was easy to select the words or phrases that I considered important.,I just looked for positive or negative words and phrases.  I then evaluated each of them and selected the most descriptive ones.,I looked for positive or negative words and phrases. I then evaluated each one of them and selected the most descriptive ones as being the most important.,I did not encounter such a situation in my evaluations.,Nothing could have been made more clear about the instructions I was given.  They were clear and easy to understand.,I just went through the review word by word and selected the words or phrases that I thought were important.,Agree,I went through the reviews word by word and evaluated the words and phrases.  I selected the most important ones with regard to the interview at hand.  They probably would suggest the same positive/negative sentiment in other reviews.,Nothing about the user interfaces for any parts of today's tasks could have been improved.  I encountered no issues or errors.,55 - 64,Man,,,,,,,White or Caucasian,,,,Master's degree,,Yes,No,Yes,This was an interesting survey to complete!,12453,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,16
2021-08-31 19:24:03,Disagree,"for most of the reviews, it was obvious from the first sentence whether the person liked the film or not.","I looked at the language the reviewer used to talk about the film, and formed an opinion about their feelings",the language being used to describe the elements of the film,the instructions were very clear.,Disagree,"The negative or positive words were easy to spot, I just had to pick the ones that seemed to describe the person's overall opinion of the film","After reading the review all the way through, on the second reading I selected words that were indicative of the reviewer's opinion of the film as a whole","whether it was positive or negative, and whether it was in line with the overall tone of the review (positive/negative)",The only time I chose not to select a word that might apply was if it was a repeated word that I'd already selected previously in the same review,the instructions were clear,I started at the beginning of the review and selected words as I read through the second time,Agree,"this seemed the most logical way to find the words I wanted to select, as I could evaluate them in context","no issues, everything went well and was clear",45 - 54,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,94907,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-08-31 19:26:13,Strongly disagree,Each review was fairly clear how the reviewer felt about it,"Looked at the adjectives the reviewer used to describe the movie, or how they described their reactions",intro sentences and conclusion,instructions were clear,Disagree,Most of the reviews had at least a few phrases that were very direct ,looked for words of emphasis or repeated concepts,how emotional of an impact did the words convey,"In one of the reviews I almost highlighted a phrase that was borderline negative, but chose not to because a later phrase was much more clearly negative",instructions were clear,In the order in which they appeared,Somewhat agree,Not all of the reviewers had the same criteria for determining what they considered negative. ,the mechanism that highlighted words and phrases was a bit awkward to use because it didn't show what was highlighted until after that selection was made,45 - 54,Man,,,,,,,White or Caucasian,,,,"Professional degree (JD, MD)",,No,No,Yes,thanks,54329,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,Highlighting words with arrow keys.,,11
2021-08-31 19:26:29,Strongly disagree,"All 10 reviews used graphic, expressive language, so it was easy to interpret each writer's feelings. ",I read each review and then determined the tone via the writer's descriptive words/phrases. ,"Tone, descriptive words/phrases",Instructions were clear enough. ,Disagree,"It wasn't very difficult because usually, descriptive words have well-known positive or negative connotations. The words with the most obvious positive or negative connotations were selected.",I read each review and focused on the words that were immediately obvious as positive or negative.,No particular characteristics come to mind. ,"Some of the words/phrases in the review that mentioned Blue Lagoon were hard to determine, just because it was evident that the review was influenced by the writer's sexual attraction to the main actress, not necessarily because the movie was good or bad. ",The instructions were clear enough. ,I selected the words/phrases as I read down the page. ,Somewhat agree,"If I remember correctly, this study is to teach an algorithm (or something similar) about how to determine if a movie review is good or bad. AI is not good at understanding the nuance of language, so I tried to select words/phrases that are seen as positive or negative 90%+ of the time. ",N/A,25 - 34,Woman,,,Black or African American,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,N/A,51741,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-08-31 19:26:48,Strongly disagree,because the words used in the reviews were typically obviously positive or obviously negative with one exception,i looked at the words that were used and the context in which they were used and if they were happy i decided they were positive and if they were unhappy i decided it was negative,words pertaining to feelings and emotions about the film,nothing,Somewhat disagree,it felt like it was clear which words communicated positivity or negativity,"i looked for negative or positive sounding verbs, nouns, adjectives, etc",whether it was obviously negative or angray or not,this is really hard to answer after the stimulus is gone. sorry.,dont ask me to recall from 10 dense reviews when i cant see the reviews any longer,i dont understand the question. i went from top to bottom.,Agree,because it helps create universal understanding,nnothibg,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,45853,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-08-31 19:30:33,Disagree,Aside from one instance it was pretty clear to me by the language used whether a review was positive or negative.,As i read through I paid close attention to the words and overall tone of the reviews author,"I tried to focus mostly on aspects of the movie itself. Whether the author thought it was good or bad,  their impression of the casting, plot  and overall theme.",The instructions were fine but one thing I would have liked was to have labeling and positive/negative selecting be on the same step.  As i read through the first time i picked up on what words or phases I wanted to highlight but then i had to go through again to find them.,Disagree,Most of the words or phrases meanings were very clear aside from one of the cases,"I would pick the obvious words like worse bad, terrible excetera, and when phrases were mentioned I took careful note to make sure they were refering to the film ",Whether the word or phase had a positive or negative meaning and of course its target,I think one came up where the phase was simply just too long. It was definitely a negative/positive idea but it was almost an entire sentence.,I think an example run with each type of movie would have been good for this,I simply selected them in the order I was reading in.,Agree,Because this is to teach an algorithm i think words that could commonly pop up is important,I mentioned this earlier but I think the choice between positive and negative and the word selection could have been combined.,35 - 44,Man,,,Black or African American,,,,,,,,"Some college credit, no degree",,No,No,Yes,,41560,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-08-31 19:33:31,Disagree,"The one about the critic was hard to determine at first, but the rest of the reviews were pretty straight forward with where they stood.","I was looking for key words, phrases and descriptive sentences that made it clear how they felt.",I was mostly looking for any negativity because that usually stands out more.,I sometimes felt weird highlighting a word in a phrase but it almost seemed like it needed to be there. I hope I did well enough.,Strongly agree,"I often wanted to accept just a word for a phrase, but then the descriptor words would have been missing.",I tried to make it so that it would be somewhat fluid in what the word or phrase meant.,"For instance, if there were several people being discusses, I would usually include the person's name.","There were several times I was just going to pick a word or phrase, but the entire sentence said it all.",I guess discussing the procedure on a short video and giving explanation of exactly what you wanted highlighted would have helped. And reason for adding/omitting those pieces that would make sense but not needed.,"I read the entire review then I would start from the beginning and work my way down. Once in a while, doubt would have me go look at something again.",Somewhat disagree,"Each review was unique in some ways but I did find myself picking words I hadn't in the beginning because I was too busy thinking of the review as a whole. When I saw AMAZING in capital letters it made me realize that IS A POSITIVE word, but in order to go through each review again, it would have taken much longer than it should have.",Everything was fine in this realm.,45 - 54,Woman,,,,,,,White or Caucasian,,,,Associate's degree,,No,I don’t know,Yes,"I am realizing I may have goofed, but I did earnestly try.",55719,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,Highlighting words with arrow keys.,,14
2021-08-31 19:36:49,Disagree,People used pretty strong language.,"Context clues and word choice, mainly.",Description and context of their statement,Nothing!,Strongly disagree,They were pretty clear.,I chose words that expressed opinions.,Strong language and judgements of quality,I didn't do that!,Nothing,I went in chronological order,Disagree,I used the emotions of the words and the context in which they were used.,Nothing,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,95986,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,,,13
2021-08-31 19:39:42,Disagree,The authors of these review generally wore their opinions plainly on their sleeves.,Looked for context clues and keywords and well as the author's overall tone and intent.,Generally the first and last sentences were the most telling.,Nothing in particular comes to mind.,Disagree,It was a fairly straightforward process of clicking on the appropriate words.,I selected the words that most emphatically communicated the author's intent.,Often you simply had to look for the exclamation marks.,The language was limp-wristed and not particularly assertive either way.,Nothing in particular comes to mind.,I started with the strongest words or language and filled out the rest of the sentence as felt appropriate.,Disagree,I approached each review entirely on its own merits.,I encountered no errors and thoroughly enjoyed the experience.,35 - 44,Man,,,,Hispanic or Latine,,,,,,,Bachelor's degree,,Yes,No,Yes,,17805,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Classify a movie review as positive or negative.
 Select confidence that you have in your selections.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-08-31 19:39:49,Disagree,It is fairly easy to determine whether it's a positive or negative review by reading the review and seeing whether or not there's any positive or negative words.,The process I would use to determine whether a review was positive or negative is by looking out for any positive or negative words in the reviews. ,The parts of the review that I focused on while whether a review was positive or negative were the beginning of the review and the end. ,The instructions I was given were clear and easy to understand. ,Disagree,The process was easy because I highlighted whatever stuck out to me the most.,My process for selecting the words or phrases you considered important was to highlight whatever stuck out to me the most from the review.,The characteristics of a word or phrase was whatever stuck out to me the most or whatever held the most emotion.,If I decided not to select those words/phrases as important it would because I found other words/phrases that were filled with more emotion.,Everything was clear and easy to comprehend. ,The order in which I selected the words or phrases I considered important were clicking whatever stuck out to me the most and were filled with emotions.,Disagree,Every review was different and had different context. I believe you would only be able to truly know whether it was negative or positive if you read each review individually. ,Everything worked smoothly.,18 - 24,Woman,,,,Hispanic or Latine,,,,,,,"Some college credit, no degree",,No,No,Yes,,76915,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-08-31 19:39:56,Disagree,"The people who wrote the reviews made it very clear on why they either hated the film or loved it alot, So it was simple to determine whether it was positive or negative by key words and passion.",I looked for key words like I hated it or this sucked or disdain for negative and I looked for key words I love it and you must go see this movie for positive. ,Where they were really reviewing the movie itself overall. ,nothing,Disagree,Being that the reviews were clear cut in dislike or like it was easy to pick out words for positive or negative reviews. There really was no in between with the reviews. ,I looked for clear words that described if they hated or loved the movie. ,"just basically strong words like loved, you must see this. Or I hated it and please save yourself the time. ",where the word wasn't strong enough to be considered negative or positive. Basically neutral words I stayed away from. ,nothing.,I just selected them as I went starting from the beginning. Whenever I seen something that fit for me I selected it. ,Somewhat agree,I wanted to be clear cut and be on track with other reviews I have seen in the past. ,nothing,35 - 44,Man,,,Black or African American,,,,,,,,"Some college credit, no degree",,No,No,Yes,,47491,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-08-31 19:41:20,Disagree,The only time that a review was difficult to categorize was when it was unintelligible and barely about the film itself.,"Looking for buzz words like ""great"" or ""terrible"".","The last sentence is the most important one, followed by the first sentence.",Nothing - the instructions were great.,Somewhat disagree,"It was pretty straightforward, but there were times that phrases seemed too long to be worth selecting - cutting out filler words would have helped.",The same buzz words that I used to determine whether the review was positive or negative.,If I could imagine it on a movie poster or at the end of a commercial.,"I can't remember a specific case, but sometimes I struggled when the phrase was too long (6+ words) and contained some unnecessary words in the middle.  If I could have selected 1-2 words, skipped a couple, and then selected 1-2 more to create a combined phrase, I would have.",More examples would have been helpful.,I went down the review in order and selected as I went.,Agree,Those were the instructions.,Nothing - everything went smoothly and was easy to use.,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,27155,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-08-31 19:42:05,Strongly disagree,"The general tone for most reviews was up front. Only one seemed to be overly verbose, so they were easy to figure out.","I just looked at the tone. The words are pretty dead giveaways. Most reviewers were not mincing words, using stuff like ""hate"", ""disgusting"" or ""amazing"", ""perfect"", etc. It was pretty easy to determine.","Just the words, and how it was written. Everything was pretty straightforward.",Nothing.,Disagree,"I thought I had a good grasp on what the phrases I chose meant, so I knew what I was labeling.","I tried to focus on chunks that described what was good or bad about the movies. Sometimes about specifics, sometimes about generalities.",I looked for things that I think are important in movies. So it was stuff I related to.,"Sometimes the phrases were too vague, so it was tough to choose which one to label them as. Things that are descriptive, when taken out of context, can seem positive or negative. So, that was something I had to consider in each one.",Nothing.,I just went through the review as I selected them. I generally went back over it once or twice to double check and see if I changed my mind on anything.,Somewhat disagree,"I think I treated each review as its own thing. The opinions of the reviewers came into play when describing events in the movie, as I said, context was important in general.",Nothing.,35 - 44,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,"I don't know about ""expertise"", but I am overly familiar with the backend of machine learning, having worked on Mechanical Turk doing tagging tasks such as this for many years.",69981,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,16
2021-08-31 19:49:13,Strongly disagree,Most of the authors are pretty emphatic about their dislike for the movie or their liking the movie,Looking at the tone and the words used,The insults or the praise,Nothing,Somewhat agree,Because I felt inclined want sentences for context,I narrowed it down to adjectives,If it was clearly negative or positive in context,They were 'supporting words',Nothing,From top to bottom,Somewhat agree,I got it wrong at the beginning but got the hang of it as I went ,none,45 - 54,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,89297,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-08-31 19:50:18,Strongly disagree,"In all except the Scorsese review, it was immediately apparent what the writer thought of the movie. They emphasized what they did, or did not like about it. The Scorsese review was a little harder because most of the review was spent recalling the events of the movie, but by the end it was clear to me that the writer appreciated what Scorsese had to say.","It was very apparent if the writer liked or disliked the movie. They emphasized the things that they liked or didn't like. For positive reviews, words and phrases like excellent, unusually creative, imaginative, great acting and story, etc. were repeated throughout the review. For negative reviews, words and phrases like cheap, terrible, awful acting, made no sense, etc. were also repeated throughout the review.","Most of the reviews were pretty short, so I tried to focus on the overall message. However, the review authors tend to sum up their feelings most clearly at the very beginning and end of each review.",I think more examples of opposite sentiment would be helpful.,Disagree,"Most of the time, there were many phrases to choose from that could easily be classified as words with high positive connotations or high negative connotations. ","I selected that clearly aligned with the author's sentiment about the movie. For positive reviews, these were words like love, great, excellent, etc. For negative reviews, they were words like awful, terrible, the worst, etc. One review was very sarcastic, so I also tried to select words that are easily distinguishable as negative or positive even when devoid of context.","Words that are highly positive or negative, especially when devoid of other context, were words that I thought were important. I tried the select phrases that were relevant to movies - so anything to do with acting, production, storytelling, and so on.","There were some phrases that in context very clearly meant something negative or positive. However, sometimes they were very sarcastic so they would give the opposite meaning, or the phrases were very long, convoluted analogies that wouldn't make much sense if you broke them down.","I think it would be helpful to define whether or not context matters for the opposite sentiment part. For example, ""awfully good"" is positive, but the word ""awfully"" by itself is very negative.","Typically, I skimmed through the review once more and selected words and phrases starting from the beginning of the review through to the end.",Somewhat agree,"For selecting words and phrases that matched the correct sentiment, I didn't focus too much on sentiment. Rather I just focused on words and phrases that supported the overall sentiment of the review.

When selecting words and phrases for the opposite sentiment, I knew in the back of my mind that you were building an algorithm, so the information that I selected will eventually be used by it. I felt like it was more appropriate to focus on words and phrases that showed opposite sentiment even when devoid of other context, so that the algorithm could maybe learn to discern sarcasm or misleading words and phrases.","I did not encounter any errors. However, I did feel like the text was too large and the frame extended too far (width) across the screen to be comfortable. I prefer somewhat smaller text closer to the center of the screen.",25 - 34,Woman,,Asian,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,I do not have a job or degree in IT/computer science but I have a basic certificate in java application development. ,43776,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-08-31 19:52:29,Somewhat disagree,Most were fairly easy. One was very difficult.,I looked at the phrasing used and whether it was positive or negative and the overall tone of the review. ,"I focused on the opinion of the reviewer, not about what the movie was about. ",nothing,Disagree,Selecting the words and phrases was the easiest part except for one review. ,I just looked for the adjectives and adverbs that described the reviewers feelings. ,If it invoked a feeling either positive or negative. ,I didn't select the phrases describing other movies the actors played in. ,nothing,I started from the top and went from start to finish.,Disagree,It depends on the context of the sentence they are in,nothing,45 - 54,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,I don’t know,Yes,no,44571,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-08-31 20:04:06,Disagree,"Most of them were quite clearly positive or negative, but the ones where people were just describing the film or their memories of it were more difficult.","On several of the reviews, you could tell by the first sentence whether it was positive or negative, but if it wasn't clear, I read until I got to the opinion of the reviewer.","I focused on the words and phrases used, and often the first and/or last lines helped determine whether it was positive or negative.","I wasn't sure if I should pick out words that were positive or negative on their own. Someone skimming a review could see bits and pieces and come to the wrong conclusion, however, so I included them.",Disagree,"The majority of the phrases were clearly positive or negative - you wouldn't mistake what ""this is the worst movie I've ever seen"" means.","I looked for words that were positive or negative on their own - like ""interesting"" or ""boring"" and then looked for phrases that made sense in context.","Adjectives were often helpful, as were superlatives.","I thought about highlighting the word ""racism"" as a negative, but, although it's definitely a negative concept, a movie review could say that racism was dealt with in a positive way.","As I said, I wasn't sure if we should include words with positive or negative connotations on their own.",From beginning to end.,Somewhat disagree,"There were phrases like ""not amazing"", so if someone was skimming and saw just ""amazing,"" they might think a negative review was actually positive.","On the page where it asks how you felt about selecting positive or negative and then how you felt about the words and phrases, the second question is at the top of the page, so you have to scroll up to answer the first.",35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,84557,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,16
2021-08-31 20:05:10,Disagree,Most of them were clear based on the words that they used in the reviews.,"I skimmed through the review and looked at whether they used mostly positive or negative words and if I saw that they used more words of one than the other, I would choose that one.",The review would usually give it way from the very beginning and also towards the end in the conclusion.,"The instructions were clear enough for me to understand how to label the reviews, but I do want to say that they should have added a neutral option as well.",Somewhat disagree,It was easy finding the words the stood out to me in the reviews.,"If I knew the review was positive or negative, I would go back to the beginning and find the words that pertained to that.",It needed to give off either a very positive or negative connotation and needed to be direct.,"In some sentences, there were words that seemed like they were either positive or negative but they just described a character in the movie, for example, an infamous villain is not necessarily a negative thing.",The instructions were clear enough for me.,They needed to describe the movie and/or the characters and how they performed in the movie.,Somewhat agree,Most people would use similar words or phrases in a review so I just look for similar words.,Everything was fine.,18 - 24,Woman,,,,Hispanic or Latine,,,,,,,High School or equivalent,,No,No,No,,29484,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-08-31 20:25:32,Somewhat agree,"When the review is long and almost as if it was part of a research paper, it makes it hard for me to determine if it was a positive or negative review.",I read through the review and looked for key words and phrases that would tell me if the reviewer liked or disliked the film.,If they said they loved how something was in the film or if they hated something in the film then that helped me determine which type of review it was.,I was clear with the instructions.,Strongly disagree,It was rather easy to select the key phrases.,I looked for the positive or negative words and phrases the reviewer used.,I looked for them to say love or hate type of words and phrases. ,I chose words that tell a positive or negative vibe from the review.,I was clear about the instructions.,I read through the review and selected the words and phrases as I went.,Somewhat agree,I selected them by if they showed a positive or negative sentiment.,"This survey took me longer than the time specified.  Also, you could have offered it to be able to be taken on other devices other than a PC.",35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,92574,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-08-31 20:26:55,Strongly disagree,Most were very specific about whether they liked or disliked the movie.,I focused on key words that pointed in the direction the reviewer felt about the film.,Very negative words that expressed a dislike of the film.,Nothing.,Disagree,Most of the reviews had very descriptive words whether they liked or disliked the movie.,Very strong language with descriptions of their feelings towards the movie.,Strong language.  Words that left no interpreting as to their meaning.,"If the word wasn't clearly indicitive of the reviewers feeling towards the movie, I didn't use it.",Not really.,"The stronger the word, whether positive or negative, the more likely I was to choose that word.",Somewhat agree,Most reviewers will use the same general words to describe whether they liked or disliked the movie.,Nothing.  I thought it was well done.,35 - 44,Woman,,,,,,,White or Caucasian,,,,Associate's degree,,No,No,Yes,,32867,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
